infusion_week,location,drug_name,total_infusions,unique_patients,avg_piv_attempts_per_infusion,prior_week_infusions,wow_change_pct
2025-12-01,Fort Myers,LEQEMBI,1,1,5.0,,
2025-12-01,Orlando,VYEPTI,1,1,5.0,,
2025-12-01,The Villages,VYEPTI,1,1,5.0,,
2025-12-01,Venice,LEQEMBI,1,1,5.0,,
2025-12-08,Brandon,KISUNLA,1,1,3.0,,
2025-12-08,Fort Myers,KISUNLA,2,2,1.5,,
2025-12-08,Fort Myers,LEQEMBI,1,1,3.0,1,0.0
2025-12-08,OCALA,KISUNLA,1,1,3.0,,
2025-12-08,OCALA,Qutenza,1,1,3.0,,
2025-12-08,Orlando,KISUNLA,1,1,1.0,,
2025-12-08,Orlando,LEQEMBI,1,1,4.0,,
2025-12-08,St. Petersburg,LEQEMBI,1,1,2.0,,
2025-12-08,Tampa,LEQEMBI,1,1,3.0,,
2025-12-08,The Villages,LEQEMBI,2,2,3.0,,
2025-12-08,The Villages,VYEPTI,1,1,5.0,1,0.0
2025-12-08,Venice,KISUNLA,1,1,3.0,,
2025-12-15,Clearwater,LEQEMBI,1,1,5.0,,
2025-12-15,Fort Myers,KISUNLA,1,1,2.0,2,-50.0
2025-12-15,Fort Myers,LEQEMBI,2,2,2.5,1,100.0
2025-12-15,Lakeland,Qutenza,1,1,5.0,,
2025-12-15,Orlando,LEQEMBI,1,1,3.0,1,0.0
2025-12-15,Orlando,VYEPTI,1,1,4.0,1,0.0
2025-12-15,Sarasota,KISUNLA,1,1,4.0,,
2025-12-15,St. Petersburg,KISUNLA,1,1,4.0,,
2025-12-15,The Villages,KISUNLA,1,1,1.0,,
2025-12-15,The Villages,LEQEMBI,1,1,3.0,2,-50.0
2025-12-15,Venice,KISUNLA,1,1,4.0,1,0.0
2025-12-22,Clearwater,KISUNLA,1,1,4.0,,
2025-12-22,Clearwater,VYEPTI,1,1,1.0,,
2025-12-22,Fort Myers,LEQEMBI,2,2,4.0,2,0.0
2025-12-22,Orlando,KISUNLA,1,1,3.0,1,0.0
2025-12-22,Orlando,LEQEMBI,1,1,3.0,1,0.0
2025-12-22,St. Petersburg,SKYRIZI,1,1,1.0,,
2025-12-22,Tampa,LEQEMBI,2,2,2.0,1,100.0
2025-12-22,Tampa,SKYRIZI,1,1,1.0,,
2025-12-22,Tampa,VYEPTI,1,1,3.0,,
2025-12-22,The Villages,LEQEMBI,1,1,5.0,1,0.0
2025-12-22,Venice,KISUNLA,2,2,3.5,1,100.0
2025-12-29,Brandon,LEQEMBI,1,1,3.0,,
2025-12-29,Clearwater,LEQEMBI,1,1,3.0,1,0.0
2025-12-29,Fort Myers,KISUNLA,1,1,5.0,1,0.0
2025-12-29,OCALA,Qutenza,1,1,4.0,1,0.0
2025-12-29,Orlando,KISUNLA,1,1,3.0,1,0.0
2025-12-29,Sarasota,KISUNLA,1,1,5.0,1,0.0
2025-12-29,St. Petersburg,VYEPTI,5,1,5.0,,
2025-12-29,Venice,LEQEMBI,3,3,3.67,1,200.0
2026-01-05,Brandon,KISUNLA,1,1,1.0,1,0.0
2026-01-05,Brandon,LEQEMBI,1,1,1.0,1,0.0
2026-01-05,Clearwater,KISUNLA,2,2,3.0,1,100.0
2026-01-05,Clearwater,LEQEMBI,2,2,3.0,1,100.0
2026-01-05,Clearwater,VYEPTI,1,1,5.0,1,0.0
2026-01-05,Fort Myers,KISUNLA,2,2,2.0,1,100.0
2026-01-05,Fort Myers,LEQEMBI,4,4,2.75,2,100.0
2026-01-05,OCALA,KISUNLA,1,1,1.0,1,0.0
2026-01-05,OCALA,LEQEMBI,2,2,4.0,,
2026-01-05,Orlando,KISUNLA,1,1,1.0,1,0.0
2026-01-05,Orlando,LEQEMBI,2,2,3.5,1,100.0
2026-01-05,Orlando,VYEPTI,1,1,4.0,1,0.0
2026-01-05,Sarasota,KISUNLA,2,2,4.0,1,100.0
2026-01-05,Sarasota,LEQEMBI,4,4,2.5,,
2026-01-05,Sarasota,VYEPTI,1,1,5.0,,
2026-01-05,St. Petersburg,LEQEMBI,1,1,2.0,1,0.0
2026-01-05,Tampa,KISUNLA,1,1,3.0,,
2026-01-05,Tampa,LEQEMBI,1,1,3.0,2,-50.0
2026-01-05,The Villages,LEQEMBI,4,4,3.75,1,300.0
2026-01-05,The Villages,Qutenza,1,1,5.0,,
2026-01-05,The Villages,VYEPTI,1,1,3.0,1,0.0
2026-01-05,Venice,KISUNLA,2,2,2.5,2,0.0
2026-01-05,Venice,VYEPTI,1,1,3.0,,
2026-01-12,Brandon,KISUNLA,1,1,4.0,1,0.0
2026-01-12,Brandon,LEQEMBI,3,3,2.0,1,200.0
2026-01-12,Brandon,VYEPTI,1,1,4.0,,
2026-01-12,Clearwater,LEQEMBI,1,1,1.0,2,-50.0
2026-01-12,Fort Myers,KISUNLA,1,1,1.0,2,-50.0
2026-01-12,Fort Myers,LEQEMBI,2,2,2.0,4,-50.0
2026-01-12,Fort Myers,TEPEZZA,1,1,2.0,,
2026-01-12,Lady Lake,KISUNLA,1,1,1.0,,
2026-01-12,Lady Lake,LEQEMBI,1,1,2.0,,
2026-01-12,Lakeland,KISUNLA,1,1,2.0,,
2026-01-12,Lakeland,LEQEMBI,1,1,4.0,,
2026-01-12,OCALA,KISUNLA,2,2,3.5,1,100.0
2026-01-12,OCALA,Qutenza,1,1,4.0,1,0.0
2026-01-12,Orlando,KISUNLA,2,2,4.5,1,100.0
2026-01-12,Sarasota,KISUNLA,1,1,2.0,2,-50.0
